movieId,title,genres,year,title_clean,tag,year_str,related
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,toy story,pixar pixar fun,1995.0,adventure animation children comedy fantasy toy story pixar pixar fun
2,Jumanji (1995),Adventure|Children|Fantasy,1995.0,jumanji,fantasy magic board game Robin Williams game,1995.0,adventure children fantasy jumanji fantasy magic board game robin williams game
3,Grumpier Old Men (1995),Comedy|Romance,1995.0,grumpier old men,moldy old,1995.0,comedy romance grumpier old men moldy old
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995.0,waiting to exhale,,1995.0,comedy drama romance waiting to exhale
5,Father of the Bride Part II (1995),Comedy,1995.0,father of the bride part ii,pregnancy remake,1995.0,comedy father of the bride part ii pregnancy remake
6,Heat (1995),Action|Crime|Thriller,1995.0,heat,,1995.0,action crime thriller heat
7,Sabrina (1995),Comedy|Romance,1995.0,sabrina,remake,1995.0,comedy romance sabrina remake
8,Tom and Huck (1995),Adventure|Children,1995.0,tom and huck,,1995.0,adventure children tom and huck
9,Sudden Death (1995),Action,1995.0,sudden death,,1995.0,action sudden death
10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,goldeneye,,1995.0,action adventure thriller goldeneye
11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"american president, the",politics president,1995.0,comedy drama romance american president the politics president
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,dracula: dead and loving it,,1995.0,comedy horror dracula dead and loving it
13,Balto (1995),Adventure|Animation|Children,1995.0,balto,,1995.0,adventure animation children balto
14,Nixon (1995),Drama,1995.0,nixon,politics president,1995.0,drama nixon politics president
15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,cutthroat island,,1995.0,action adventure romance cutthroat island
16,Casino (1995),Crime|Drama,1995.0,casino,Mafia,1995.0,crime drama casino mafia
17,Sense and Sensibility (1995),Drama|Romance,1995.0,sense and sensibility,Jane Austen,1995.0,drama romance sense and sensibility jane austen
18,Four Rooms (1995),Comedy,1995.0,four rooms,,1995.0,comedy four rooms
19,Ace Ventura: When Nature Calls (1995),Comedy,1995.0,ace ventura: when nature calls,,1995.0,comedy ace ventura when nature calls
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,money train,,1995.0,action comedy crime drama thriller money train
21,Get Shorty (1995),Comedy|Crime|Thriller,1995.0,get shorty,Hollywood,1995.0,comedy crime thriller get shorty hollywood
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995.0,copycat,serial killer,1995.0,crime drama horror mystery thriller copycat serial killer
23,Assassins (1995),Action|Crime|Thriller,1995.0,assassins,,1995.0,action crime thriller assassins
24,Powder (1995),Drama|Sci-Fi,1995.0,powder,,1995.0,drama scifi powder
25,Leaving Las Vegas (1995),Drama|Romance,1995.0,leaving las vegas,alcoholism,1995.0,drama romance leaving las vegas alcoholism
26,Othello (1995),Drama,1995.0,othello,Shakespeare,1995.0,drama othello shakespeare
27,Now and Then (1995),Children|Drama,1995.0,now and then,,1995.0,children drama now and then
28,Persuasion (1995),Drama|Romance,1995.0,persuasion,In Netflix queue Jane Austen,1995.0,drama romance persuasion in netflix queue jane austen
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0,"city of lost children, the (cité des enfants perdus, la)",kidnapping,1995.0,adventure drama fantasy mystery scifi city of lost children the cit des enfants perdus la kidnapping
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995.0,shanghai triad (yao a yao yao dao waipo qiao),,1995.0,crime drama shanghai triad yao a yao yao dao waipo qiao
31,Dangerous Minds (1995),Drama,1995.0,dangerous minds,high school teacher,1995.0,drama dangerous minds high school teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995.0,twelve monkeys (a.k.a. 12 monkeys),time travel time travel Brad Pitt Bruce Willis mindfuck Post apocalyptic post-apocalyptic remake time travel twist ending,1995.0,mystery scifi thriller twelve monkeys aka  monkeys time travel time travel brad pitt bruce willis mindfuck post apocalyptic postapocalyptic remake time travel twist ending
34,Babe (1995),Children|Drama,1995.0,babe,Animal movie pigs villain nonexistent or not needed for good story,1995.0,children drama babe animal movie pigs villain nonexistent or not needed for good story
36,Dead Man Walking (1995),Crime|Drama,1995.0,dead man walking,death penalty Nun,1995.0,crime drama dead man walking death penalty nun
38,It Takes Two (1995),Children|Comedy,1995.0,it takes two,twins,1995.0,children comedy it takes two twins
39,Clueless (1995),Comedy|Romance,1995.0,clueless,chick flick funny Paul Rudd quotable seen more than once Emma Jane Austen,1995.0,comedy romance clueless chick flick funny paul rudd quotable seen more than once emma jane austen
40,"Cry, the Beloved Country (1995)",Drama,1995.0,"cry, the beloved country",In Netflix queue South Africa,1995.0,drama cry the beloved country in netflix queue south africa
41,Richard III (1995),Drama|War,1995.0,richard iii,Shakespeare,1995.0,drama war richard iii shakespeare
